age,gender,income,education,marital_status,household_size,region,urban_rural,total_purchases_12m,total_spend_12m,avg_order_value,days_since_last_purchase,product_categories_purchased,returns_rate,discount_usage_rate,loyalty_program_member,email_open_rate,email_click_rate,website_visits_30d,avg_session_duration,mobile_app_usage,social_media_engagement,push_notification_enabled,sms_opt_in,purchased_product_a
33,Female,42414,High School,Married,5,Southwest,Urban,7,172.17,24.6,29,3,0.195,0.333,0,0.316,0.089,6,5.44,7,4.78,0,0,0
26,Male,76130,Bachelor,Married,6,Northeast,Suburban,30,1314.14,43.8,19,5,0.051,0.493,1,0.448,0.197,13,3.8,17,54.14,0,0,1
46,Female,70938,Bachelor,Divorced,1,Northeast,Urban,14,670.45,47.89,21,2,0.024,0.693,0,0.325,0.075,8,17.92,13,25.3,0,0,0
28,Female,58040,Master,Married,6,Northeast,Urban,20,1222.59,61.13,18,2,0.095,0.296,0,0.228,0.053,13,6.95,24,34.1,0,0,0
20,Other,30035,High School,Married,3,Southwest,Suburban,12,180.0,15.0,16,9,0.063,0.583,0,0.311,0.061,9,7.25,19,36.31,1,1,0
63,Female,70773,High School,Widowed,2,Southeast,Rural,13,1205.12,92.7,38,7,0.162,0.783,0,0.336,0.045,9,7.34,6,17.58,1,0,0
38,Male,115910,PhD,Married,2,Southeast,Urban,14,1202.39,85.88,37,7,0.02,0.697,0,0.237,0.055,11,4.28,14,41.28,1,0,0
43,Female,89365,Master,Single,1,West,Suburban,18,945.89,52.55,35,5,0.077,0.417,1,0.423,0.183,15,9.27,12,2.31,0,0,0
20,Female,53807,Bachelor,Single,1,Northeast,Rural,18,673.79,37.43,35,5,0.177,0.746,1,0.234,0.097,16,4.21,15,60.23,0,0,0
33,Male,63270,Master,Married,6,Midwest,Rural,17,831.98,48.94,31,5,0.091,0.197,1,0.208,0.097,8,4.0,11,23.96,1,1,0
43,Male,86782,Bachelor,Married,1,Southwest,Suburban,12,882.19,73.52,27,1,0.054,0.656,0,0.187,0.063,8,3.14,13,38.48,0,0,1
24,Male,65020,Master,Single,4,Midwest,Urban,18,1179.66,65.54,20,3,0.33,0.475,0,0.191,0.035,5,3.58,7,41.66,1,1,0
47,Male,76699,Bachelor,Married,5,Midwest,Urban,12,773.67,64.47,30,3,0.083,0.52,0,0.421,0.089,13,5.82,10,40.24,1,0,0
32,Male,88402,Bachelor,Divorced,2,Northeast,Urban,15,886.39,59.09,15,2,0.047,0.495,0,0.15,0.028,9,6.54,16,18.07,1,1,0
37,Female,92831,Master,Married,2,Southeast,Suburban,10,761.96,76.2,63,2,0.063,0.46,0,0.266,0.033,9,7.5,11,31.53,1,1,0
32,Male,41776,Bachelor,Divorced,2,Midwest,Urban,12,180.0,15.0,48,3,0.04,0.599,0,0.233,0.069,10,10.32,9,44.35,0,1,0
69,Male,99257,PhD,Widowed,4,Northeast,Suburban,16,885.14,55.32,15,6,0.041,0.579,0,0.157,0.061,11,10.5,3,0.0,1,1,0
41,Female,72435,Bachelor,Married,3,West,Urban,11,579.63,52.69,58,1,0.019,0.33,0,0.224,0.088,7,4.98,12,27.47,0,1,0
26,Female,73208,PhD,Single,3,Southeast,Suburban,16,636.15,39.76,37,1,0.18,0.317,0,0.371,0.151,6,4.43,12,72.02,1,1,0
54,Female,123528,PhD,Divorced,2,Southeast,Urban,24,2097.35,87.39,27,7,0.019,0.354,1,0.337,0.048,14,4.13,2,0.0,0,0,0
23,Male,59633,Bachelor,Married,2,Southeast,Suburban,9,297.5,33.06,33,3,0.4,0.807,0,0.219,0.057,10,3.51,20,58.81,1,1,1
45,Female,94080,Master,Married,4,West,Suburban,28,3116.42,111.3,12,5,0.026,0.529,1,0.318,0.116,12,3.72,7,44.31,0,0,1
18,Female,44398,Bachelor,Single,3,Southwest,Suburban,11,253.51,23.05,36,1,0.287,0.598,0,0.229,0.037,10,8.52,15,21.63,1,0,0
22,Male,114320,PhD,Single,5,Midwest,Urban,15,1760.77,117.38,19,5,0.021,0.522,0,0.387,0.117,9,4.33,16,60.81,1,1,1
44,Male,118438,Bachelor,Single,1,Midwest,Urban,25,1227.86,49.11,16,2,0.09,0.767,1,0.34,0.08,10,5.35,14,31.62,0,1,0
53,Female,93821,Master,Married,5,Southeast,Urban,16,1872.2,117.01,11,4,0.185,0.602,0,0.285,0.088,8,10.39,6,16.06,1,0,1
44,Female,81095,Bachelor,Married,1,Midwest,Suburban,22,1809.0,82.23,28,6,0.078,0.62,1,0.297,0.14,10,4.79,9,4.35,1,1,1
40,Other,59061,High School,Married,5,Southeast,Urban,5,376.81,75.36,45,3,0.052,0.889,0,0.293,0.1,2,5.18,6,59.34,1,0,0
37,Female,51304,High School,Widowed,2,Southeast,Suburban,9,255.11,28.35,45,4,0.117,0.508,0,0.259,0.093,3,4.28,8,57.57,0,1,0
19,Female,43318,Bachelor,Single,5,Southeast,Urban,6,271.23,45.21,98,1,0.163,0.645,0,0.241,0.028,9,4.31,11,39.09,1,0,0
31,Female,64125,Master,Divorced,2,Northeast,Urban,11,626.05,56.91,52,5,0.048,0.876,0,0.103,0.033,6,11.77,11,11.51,0,1,0
35,Male,51566,Bachelor,Married,5,Northeast,Suburban,13,698.98,53.77,43,6,0.109,0.588,1,0.218,0.034,13,5.15,14,21.46,0,1,0
57,Male,92278,Bachelor,Divorced,2,Northeast,Suburban,7,711.14,101.59,64,4,0.092,0.346,0,0.264,0.103,9,3.75,5,30.79,0,0,0
47,Male,70404,Bachelor,Married,2,Southeast,Urban,26,2054.74,79.03,15,2,0.045,0.79,1,0.266,0.098,11,5.37,9,36.35,0,0,0
18,Female,20000,Bachelor,Single,3,West,Suburban,7,256.8,36.69,53,2,0.025,0.802,0,0.073,0.012,5,12.38,22,34.12,1,0,0
46,Female,69072,High School,Divorced,1,Midwest,Suburban,20,1690.36,84.52,10,3,0.064,0.387,1,0.443,0.105,7,3.38,10,0.81,0,0,1
36,Female,83826,Master,Divorced,2,West,Urban,13,1242.49,95.58,15,1,0.271,0.674,0,0.223,0.078,7,3.45,7,18.94,0,1,1
31,Male,115600,PhD,Married,2,Southeast,Urban,15,1146.62,76.44,40,4,0.118,0.697,0,0.336,0.08,12,3.29,11,42.24,1,0,1
51,Female,86996,Bachelor,Single,1,Southeast,Suburban,9,553.98,61.55,40,5,0.245,0.85,0,0.252,0.047,2,6.59,7,16.38,0,1,1
57,Male,49019,High School,Divorced,5,Southwest,Rural,6,586.46,97.74,30,2,0.095,0.474,0,0.375,0.065,8,3.84,11,0.0,0,1,0
55,Male,36154,High School,Married,3,Midwest,Urban,10,432.8,43.28,49,1,0.162,0.573,0,0.423,0.123,12,12.42,9,58.64,0,0,1
29,Female,68007,Master,Single,1,Midwest,Suburban,17,869.45,51.14,30,1,0.053,0.363,1,0.517,0.127,6,18.08,16,56.33,1,1,0
37,Female,60823,Bachelor,Divorced,4,Midwest,Rural,14,802.5,57.32,20,2,0.111,0.59,0,0.362,0.084,9,11.45,13,9.61,1,0,0
46,Other,106547,Master,Married,6,Midwest,Suburban,16,1676.2,104.76,23,5,0.224,0.6,0,0.271,0.133,6,7.09,12,17.17,1,1,0
56,Male,85266,Bachelor,Divorced,3,Southwest,Urban,15,1305.01,87.0,31,2,0.087,0.655,0,0.349,0.107,11,3.72,7,46.48,0,0,0
34,Female,99805,Master,Divorced,2,Southwest,Suburban,16,1238.25,77.39,29,3,0.165,0.609,0,0.116,0.036,7,3.78,8,12.05,1,1,0
39,Male,51927,Bachelor,Married,5,West,Urban,8,545.56,68.2,51,1,0.111,0.385,0,0.342,0.146,13,7.06,14,42.69,0,0,0
25,Male,75078,Bachelor,Single,3,West,Suburban,14,1015.63,72.54,25,3,0.023,0.485,0,0.275,0.084,16,6.41,14,28.34,1,0,1
24,Female,70614,Bachelor,Single,2,Midwest,Urban,13,812.01,62.46,15,3,0.094,0.483,0,0.098,0.011,8,6.01,15,23.41,1,0,0
54,Female,38526,High School,Married,6,Northeast,Urban,6,259.57,43.26,27,2,0.051,0.373,0,0.231,0.095,10,11.9,6,25.01,1,0,0
62,Female,110039,Bachelor,Divorced,3,Northeast,Urban,20,1759.61,87.98,20,1,0.054,0.783,0,0.408,0.16,15,6.32,9,5.09,0,0,0
40,Male,89001,Master,Married,4,Northeast,Suburban,26,1720.61,66.18,10,5,0.206,0.53,1,0.195,0.051,9,4.17,14,6.47,1,0,1
57,Female,92080,Bachelor,Married,5,Northeast,Rural,12,929.43,77.45,53,4,0.088,0.557,0,0.273,0.034,12,3.62,10,31.08,0,0,1
47,Male,80226,Master,Single,2,Southeast,Suburban,12,829.47,69.12,41,2,0.037,0.76,0,0.138,0.022,13,6.36,7,27.68,0,0,1
32,Female,85328,Bachelor,Married,4,Northeast,Urban,20,873.04,43.65,23,9,0.112,0.678,1,0.286,0.134,15,3.06,14,45.99,0,0,0
47,Male,45412,High School,Married,4,Midwest,Suburban,9,379.08,42.12,40,4,0.011,0.52,0,0.245,0.087,6,11.71,17,48.08,0,1,0
65,Male,105081,Bachelor,Divorced,3,Southeast,Suburban,15,1160.59,77.37,22,4,0.133,0.606,0,0.05,0.021,9,3.03,5,0.0,0,1,0
41,Female,85709,Bachelor,Married,1,Midwest,Suburban,8,880.39,110.05,31,2,0.254,0.386,0,0.26,0.045,13,4.39,11,35.02,0,1,0
65,Female,77987,Bachelor,Single,2,Northeast,Suburban,27,1776.41,65.79,7,10,0.139,0.36,1,0.333,0.102,15,10.58,4,0.0,0,0,0
18,Male,69750,High School,Single,2,West,Rural,13,914.42,70.34,37,2,0.143,0.582,0,0.149,0.047,7,4.66,14,70.08,0,0,0
54,Male,87272,Bachelor,Widowed,4,West,Urban,9,1049.96,116.66,60,1,0.088,0.564,0,0.253,0.062,8,3.78,7,13.17,1,1,0
43,Female,69808,High School,Single,3,Southeast,Urban,17,566.43,33.32,36,3,0.07,0.41,0,0.357,0.102,5,3.48,10,35.15,1,1,0
37,Male,32293,High School,Married,6,West,Urban,6,92.75,15.46,82,2,0.113,0.552,0,0.187,0.061,11,6.63,6,18.68,1,0,0
43,Male,106765,Bachelor,Married,4,Southeast,Suburban,24,1627.58,67.82,26,1,0.045,0.361,1,0.197,0.025,13,3.58,15,29.19,1,0,1
18,Male,36631,Bachelor,Married,6,West,Rural,7,291.58,41.65,90,3,0.008,0.365,0,0.186,0.063,5,5.21,13,14.23,0,1,0
38,Male,116373,PhD,Single,2,Midwest,Rural,12,1002.53,83.54,54,3,0.091,0.401,0,0.313,0.038,6,4.21,11,14.47,0,0,0
47,Female,63278,Bachelor,Divorced,3,Southeast,Rural,10,514.22,51.42,46,7,0.052,0.413,0,0.366,0.165,11,9.74,10,32.61,1,0,0
64,Female,97515,Master,Married,3,Northeast,Urban,27,1460.27,54.08,10,4,0.05,0.773,1,0.277,0.076,15,6.58,6,12.87,1,0,0
34,Female,79631,Bachelor,Divorced,1,Northeast,Suburban,18,1607.31,89.3,12,3,0.005,0.442,1,0.227,0.067,13,4.27,10,25.6,1,0,1
29,Other,94213,Master,Single,2,West,Suburban,13,884.34,68.03,51,2,0.12,0.516,0,0.34,0.073,10,3.17,12,51.04,1,0,0
34,Male,48730,Bachelor,Married,5,Midwest,Rural,25,1951.29,78.05,13,2,0.1,0.561,1,0.319,0.156,18,5.2,10,45.8,0,0,0
55,Male,130957,PhD,Divorced,3,Southeast,Urban,14,1051.93,75.14,13,2,0.2,0.525,0,0.264,0.061,16,4.81,7,28.2,1,0,0
46,Male,93074,Bachelor,Married,6,Midwest,Urban,27,3124.73,115.73,14,6,0.248,0.413,1,0.105,0.028,16,4.52,8,15.56,1,1,0
34,Male,68730,Master,Married,5,Northeast,Rural,13,403.64,31.05,42,2,0.178,0.948,0,0.357,0.109,7,4.32,5,25.1,0,0,0
49,Male,103779,Bachelor,Married,6,Northeast,Suburban,28,2284.79,81.6,23,5,0.118,0.428,1,0.293,0.112,15,5.22,7,36.82,0,0,1
43,Female,38147,High School,Single,2,West,Rural,8,232.85,29.11,49,2,0.078,0.396,0,0.291,0.067,8,3.44,12,16.87,0,0,0
56,Female,76028,Bachelor,Divorced,5,Midwest,Urban,19,1305.78,68.73,17,3,0.091,0.536,1,0.405,0.197,9,5.12,9,34.92,1,0,1
31,Male,57585,High School,Single,2,Southeast,Rural,16,627.24,39.2,35,3,0.103,0.544,1,0.291,0.079,9,3.2,12,72.99,1,0,0
37,Female,57396,Bachelor,Single,3,West,Suburban,12,189.49,15.79,35,1,0.101,0.445,0,0.057,0.011,10,7.55,4,0.0,1,0,0
36,Female,58357,High School,Married,2,Southeast,Suburban,22,958.42,43.56,9,1,0.119,0.422,1,0.356,0.082,10,5.2,16,19.22,0,1,1
20,Female,60216,Bachelor,Single,2,Southeast,Suburban,18,1656.54,92.03,35,1,0.075,0.453,0,0.366,0.154,13,5.77,13,35.18,0,0,0
46,Female,104593,PhD,Widowed,3,Southeast,Suburban,14,872.14,62.3,36,2,0.052,0.405,0,0.25,0.075,9,11.08,9,32.71,0,0,0
45,Female,89086,Bachelor,Divorced,2,Midwest,Suburban,10,847.12,84.71,18,2,0.047,0.464,0,0.392,0.108,5,4.18,5,41.48,0,0,0
42,Female,85774,Master,Married,3,Midwest,Urban,13,949.01,73.0,13,4,0.119,0.276,0,0.526,0.058,7,3.85,8,26.93,0,0,0
38,Female,74473,Bachelor,Divorced,2,Northeast,Suburban,10,581.43,58.14,20,5,0.055,0.398,0,0.392,0.174,11,3.06,18,35.9,0,0,0
20,Female,73797,Bachelor,Married,6,Southwest,Suburban,8,862.13,107.77,70,1,0.029,0.62,0,0.14,0.05,10,7.07,11,36.95,1,0,0
35,Male,110460,PhD,Married,3,West,Urban,6,473.64,78.94,63,2,0.112,0.511,0,0.307,0.146,4,18.58,16,6.84,1,0,0
36,Male,96190,Master,Divorced,2,Midwest,Urban,16,1303.74,81.48,21,3,0.078,0.399,0,0.371,0.049,17,7.23,12,45.4,0,1,1
29,Female,61562,Master,Single,2,West,Suburban,17,1062.4,62.49,17,3,0.17,0.33,1,0.381,0.157,10,12.25,12,43.76,0,0,0
39,Male,79671,Bachelor,Married,2,Southeast,Urban,27,2736.06,101.34,16,2,0.053,0.405,1,0.266,0.102,16,4.19,11,13.8,1,0,0
48,Male,65822,Bachelor,Married,6,Southeast,Urban,11,362.33,32.94,18,4,0.276,0.503,0,0.377,0.118,9,5.79,6,1.47,0,1,0
70,Female,62378,High School,Divorced,3,Southwest,Rural,22,2333.59,106.07,22,10,0.031,0.66,1,0.273,0.047,3,3.19,5,15.99,0,0,0
44,Male,74724,Bachelor,Single,2,Southeast,Urban,18,1759.52,97.75,20,1,0.032,0.372,1,0.396,0.048,10,9.28,12,33.54,1,1,0
45,Female,63035,Bachelor,Married,4,Northeast,Urban,13,903.12,69.47,46,3,0.057,0.82,0,0.262,0.067,17,6.96,12,36.34,1,1,1
40,Female,99459,Master,Married,4,Northeast,Suburban,14,1289.3,92.09,39,1,0.162,0.339,0,0.356,0.147,8,10.87,13,17.36,1,0,1
18,Other,82218,Master,Single,4,Southwest,Suburban,11,732.02,66.55,16,3,0.157,0.231,0,0.315,0.077,10,5.9,14,55.84,0,0,0
41,Female,44860,Bachelor,Married,3,Northeast,Suburban,12,665.18,55.43,21,4,0.068,0.377,0,0.165,0.07,8,3.99,11,20.89,0,1,0
42,Male,46775,High School,Married,3,Southeast,Rural,7,432.51,61.79,55,3,0.095,0.671,0,0.274,0.129,6,5.4,9,56.98,1,0,0
78,Female,96103,Master,Married,3,Northeast,Suburban,16,958.07,59.88,31,3,0.211,0.382,0,0.22,0.055,9,10.85,2,12.61,0,0,0
39,Female,49860,High School,Single,1,Southwest,Suburban,15,1279.77,85.32,35,3,0.081,0.295,0,0.25,0.069,7,13.7,11,36.88,1,1,0
46,Other,84227,Bachelor,Married,4,Midwest,Suburban,12,919.15,76.6,48,2,0.068,0.324,0,0.172,0.034,9,4.3,5,23.75,0,0,1
41,Male,54765,High School,Married,4,Southeast,Suburban,13,782.79,60.21,14,1,0.303,0.273,0,0.454,0.111,14,3.44,3,41.17,0,0,1
24,Male,50953,Bachelor,Single,1,Southwest,Urban,13,495.85,38.14,13,5,0.124,0.683,1,0.331,0.089,4,4.66,8,26.42,0,0,0
59,Female,137302,PhD,Married,6,Southwest,Rural,20,2440.92,122.05,24,6,0.084,0.403,0,0.185,0.086,8,10.81,7,25.46,1,0,0
53,Male,33427,High School,Married,5,Midwest,Urban,20,915.89,45.79,27,4,0.211,0.729,1,0.226,0.043,13,10.53,12,36.95,1,1,0
53,Female,101553,Bachelor,Single,3,Southeast,Suburban,10,702.73,70.27,55,4,0.226,0.486,0,0.481,0.198,10,17.08,9,15.34,0,0,0
28,Male,54835,Bachelor,Single,2,Midwest,Suburban,12,428.36,35.7,20,3,0.11,0.625,0,0.176,0.043,7,3.83,18,61.48,1,0,0
63,Male,119828,PhD,Divorced,1,West,Rural,28,2427.14,86.68,24,7,0.103,0.207,1,0.29,0.029,9,3.76,9,2.42,0,1,0
20,Male,63689,Master,Single,2,Northeast,Urban,7,269.15,38.45,38,4,0.108,0.74,0,0.269,0.104,7,6.3,14,36.74,1,1,1
50,Male,88743,High School,Divorced,3,Southeast,Suburban,14,1138.03,81.29,21,3,0.157,0.531,0,0.408,0.098,9,8.51,13,5.51,1,0,0
74,Female,66335,High School,Single,3,Southeast,Urban,29,2281.0,78.66,8,6,0.325,0.566,1,0.292,0.068,7,3.35,4,0.0,0,0,1
27,Female,62376,Bachelor,Single,1,Southwest,Rural,9,479.95,53.33,20,5,0.033,0.844,0,0.165,0.08,13,6.37,13,36.55,0,1,0
33,Male,74911,Bachelor,Married,3,Southwest,Suburban,5,360.89,72.18,104,4,0.119,0.272,0,0.308,0.048,6,19.28,15,51.31,0,1,0
43,Female,50834,Bachelor,Married,1,Southeast,Urban,11,878.02,79.82,15,2,0.006,0.364,0,0.311,0.079,11,11.3,8,0.0,1,0,0
34,Male,39001,High School,Married,1,Southeast,Suburban,22,1012.96,46.04,18,7,0.154,0.697,1,0.23,0.107,7,4.66,9,48.61,0,1,0
18,Female,37777,High School,Married,3,West,Urban,15,701.7,46.78,14,4,0.087,0.442,0,0.174,0.078,17,5.67,8,29.6,1,1,0
43,Male,61700,Bachelor,Married,4,Southwest,Urban,7,426.72,60.96,25,3,0.336,0.654,0,0.317,0.128,10,4.0,12,0.0,1,0,0
26,Female,49166,Bachelor,Single,1,West,Suburban,13,595.03,45.77,49,5,0.052,0.423,1,0.221,0.032,8,8.34,15,49.45,1,1,0
49,Female,89552,Master,Married,4,West,Urban,9,609.69,67.74,63,2,0.235,0.64,0,0.309,0.101,7,5.48,8,31.76,1,0,0
28,Female,57743,High School,Married,3,Southeast,Rural,24,1043.91,43.5,15,4,0.162,0.656,1,0.29,0.116,18,4.7,7,23.5,0,0,1
65,Female,72459,High School,Widowed,1,Northeast,Suburban,14,1047.47,74.82,28,1,0.168,0.544,0,0.304,0.095,10,6.32,2,13.95,0,0,0
30,Female,110776,PhD,Married,3,Midwest,Suburban,12,1007.48,83.96,50,1,0.176,0.35,0,0.177,0.034,9,7.85,14,39.09,1,0,1
37,Other,55233,Bachelor,Married,4,Southeast,Rural,8,556.74,69.59,68,2,0.077,0.496,0,0.255,0.104,6,3.55,14,19.87,1,0,1
54,Female,80021,Master,Married,6,Midwest,Suburban,18,1628.02,90.45,29,5,0.188,0.584,0,0.19,0.063,6,9.79,6,12.88,1,0,0
23,Female,87895,Bachelor,Married,2,Midwest,Suburban,11,582.28,52.93,39,3,0.092,0.38,0,0.163,0.035,8,3.44,20,45.95,1,0,1
45,Female,66730,Bachelor,Widowed,3,West,Urban,13,606.19,46.63,36,2,0.256,0.325,0,0.375,0.169,11,10.65,7,28.62,0,0,0
61,Male,84736,Master,Divorced,3,Northeast,Rural,12,1034.47,86.21,30,2,0.038,0.564,0,0.307,0.036,10,3.61,3,17.25,1,0,0
18,Female,28869,Bachelor,Single,1,Southeast,Rural,6,236.08,39.35,67,2,0.194,0.844,0,0.387,0.129,8,3.03,16,74.2,1,0,1
44,Male,106926,Master,Single,1,Midwest,Urban,20,1701.55,85.08,22,4,0.316,0.534,1,0.154,0.05,11,6.11,9,18.42,0,0,1
45,Female,71480,Bachelor,Married,4,West,Urban,10,674.11,67.41,59,3,0.163,0.439,0,0.268,0.081,8,4.16,7,23.85,1,0,0
53,Female,79194,Bachelor,Divorced,2,West,Rural,21,1063.37,50.64,13,7,0.051,0.492,0,0.237,0.117,11,6.75,3,28.29,1,0,1
23,Female,56611,Bachelor,Married,5,Midwest,Suburban,13,889.54,68.43,22,5,0.157,0.463,0,0.418,0.099,8,3.31,17,45.33,0,1,0
22,Male,73394,Bachelor,Single,3,Northeast,Suburban,12,860.1,71.68,22,2,0.142,0.403,0,0.181,0.045,7,5.55,8,49.63,0,0,0
49,Male,62107,High School,Married,4,Southeast,Suburban,22,899.45,40.88,21,4,0.027,0.306,1,0.247,0.077,8,7.14,9,33.24,0,1,1
46,Female,112560,Bachelor,Married,5,West,Suburban,24,1991.43,82.98,22,3,0.038,0.289,1,0.427,0.186,7,5.63,11,0.0,1,1,1
45,Female,78606,Bachelor,Married,4,Midwest,Rural,17,1141.08,67.12,17,3,0.17,0.332,1,0.467,0.138,10,4.51,6,42.99,0,0,0
47,Male,94126,Bachelor,Single,1,Southwest,Rural,19,1748.27,92.01,27,2,0.046,0.668,1,0.083,0.033,11,6.51,8,18.11,0,0,1
31,Male,92478,Master,Married,3,Southeast,Rural,27,2691.94,99.7,18,4,0.019,0.303,1,0.307,0.137,15,24.92,19,23.47,0,0,1
45,Female,76053,Bachelor,Married,2,Northeast,Rural,16,1085.75,67.86,21,1,0.037,0.497,0,0.202,0.05,11,4.05,7,47.06,0,1,1
46,Female,98595,PhD,Single,2,Midwest,Urban,21,959.35,45.68,14,7,0.123,0.423,1,0.414,0.197,10,4.26,4,28.13,0,1,0
31,Male,70379,Bachelor,Married,3,West,Urban,12,956.54,79.71,51,3,0.159,0.384,0,0.355,0.127,9,7.17,8,45.09,0,1,1
69,Male,103451,Bachelor,Single,1,West,Rural,15,1885.3,125.69,30,2,0.089,0.332,0,0.19,0.094,8,11.59,10,23.94,0,0,0
49,Male,86211,Master,Married,3,West,Urban,18,1574.34,87.46,29,3,0.285,0.377,0,0.219,0.023,17,4.56,8,23.94,0,1,1
24,Other,62295,Bachelor,Married,3,Midwest,Suburban,9,501.22,55.69,68,1,0.099,0.541,0,0.214,0.062,13,6.43,9,44.38,0,0,0
51,Male,99943,Bachelor,Widowed,3,Midwest,Rural,6,527.95,87.99,42,4,0.13,0.585,0,0.308,0.033,5,10.66,6,33.05,0,0,0
27,Male,78249,High School,Single,1,West,Suburban,13,1106.68,85.13,26,4,0.019,0.517,0,0.132,0.034,9,12.33,10,47.06,0,0,0
53,Male,95815,Bachelor,Divorced,2,Northeast,Suburban,7,561.17,80.17,52,1,0.082,0.418,0,0.222,0.091,7,11.29,6,27.23,1,0,0
59,Male,115741,Bachelor,Married,5,West,Urban,13,1484.2,114.17,22,1,0.086,0.573,0,0.341,0.111,10,5.69,8,31.98,1,0,1
29,Female,84359,PhD,Married,4,Midwest,Urban,23,1139.25,49.53,26,5,0.361,0.353,1,0.227,0.072,19,4.3,12,40.7,0,1,0
56,Male,95928,Bachelor,Divorced,2,West,Suburban,13,908.48,69.88,16,3,0.159,0.585,0,0.287,0.054,13,4.95,9,13.63,1,0,0
48,Male,114077,Master,Single,2,Southwest,Urban,15,1443.31,96.22,19,1,0.068,0.181,0,0.191,0.081,9,5.36,8,48.45,0,1,1
54,Male,70355,Bachelor,Married,6,Northeast,Rural,8,633.15,79.14,31,2,0.07,0.696,0,0.269,0.113,7,5.29,11,20.06,0,1,0
70,Male,89316,Bachelor,Married,4,Northeast,Urban,25,1592.88,63.72,27,2,0.107,0.688,1,0.245,0.042,14,3.47,2,0.0,0,0,1
38,Male,97068,Bachelor,Married,2,Southeast,Suburban,17,1181.16,69.48,29,2,0.093,0.788,1,0.317,0.037,6,6.68,6,33.32,1,0,0
30,Female,64973,Master,Married,4,Southeast,Urban,23,1130.56,49.15,23,3,0.232,0.666,1,0.326,0.155,18,6.2,13,47.23,0,0,1
28,Female,57883,Master,Single,2,Midwest,Suburban,13,572.64,44.05,17,3,0.047,0.284,0,0.197,0.078,9,18.29,13,16.96,1,0,1
29,Female,86719,Bachelor,Single,2,Midwest,Urban,17,1423.57,83.74,16,6,0.052,0.538,0,0.415,0.091,9,10.65,11,60.12,0,0,1
40,Female,90551,Bachelor,Widowed,2,Midwest,Urban,23,1714.08,74.53,26,3,0.126,0.424,1,0.14,0.023,17,3.72,12,34.07,0,0,0
47,Female,84681,Bachelor,Divorced,2,Northeast,Suburban,18,1769.14,98.29,25,3,0.089,0.372,0,0.235,0.078,10,8.26,7,12.29,0,0,0
46,Male,61714,High School,Married,4,West,Rural,12,467.81,38.98,15,2,0.01,0.405,0,0.128,0.058,11,5.77,5,41.32,1,0,0
54,Female,77222,Bachelor,Divorced,2,Midwest,Urban,18,1178.41,65.47,25,5,0.033,0.727,0,0.347,0.061,14,3.83,6,28.16,1,1,1
