age,gender,income,education,marital_status,household_size,region,urban_rural,total_purchases_12m,total_spend_12m,avg_order_value,days_since_last_purchase,product_categories_purchased,returns_rate,discount_usage_rate,loyalty_program_member,email_open_rate,email_click_rate,website_visits_30d,avg_session_duration,mobile_app_usage,social_media_engagement,push_notification_enabled,sms_opt_in,purchased_product_a,kmeans_cluster,hierarchical_cluster,dbscan_cluster,gmm_cluster,rfm_segment,purchase_propensity,propensity_segment,rfm_tier,propensity_tier,combined_segment,action_segment,engagement_score,engagement_tier,segment_3d,action_segment_3d,R_Score,F_Score,M_Score,RFM_Score,base_lifespan,customer_lifespan_years,purchase_frequency_annual,clv_simple,clv_rfm_weighted,clv_proxy,clv_predicted,clv_tier,age_group,income_quartile,churn_risk_score,is_churned,churn_probability,churn_risk_segment,clv_churn_action
49,Male,60701,Bachelor,Married,2,Southwest,Urban,13,576.94,44.38,18,5,0.038,0.501,0,0.236,0.045,11,15.17,6,15.55,1,1,0,3,0,-1,0,Potential Loyalists,0.1531767571956525,Very Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.3988258601802448,High Engagement,Medium Value | High Engagement | Low Propensity,9. Fading Interest - Re-engage,4,2,2,8,2.0,2.2,13,1269.2680000000005,1946.2109333333335,1172.5658980540736,1198.5517492154784,Silver,46-55,Q1 (Low),0.46636816129728437,0,0.006682884463882691,Very Low Risk,5. Growth Opportunity
35,Other,50258,High School,Married,5,Southeast,Suburban,14,894.26,63.88,42,7,0.03,0.266,0,0.441,0.201,8,4.17,11,26.52,0,0,1,3,0,-1,1,Potential Loyalists,0.6028256413917342,High,Medium Value,High Propensity,Medium Value / High Propensity,4. Rising Star - Accelerate,0.3585169478453168,Medium Engagement,Medium Value | Medium Engagement | High Propensity,4. Hidden Opportunity - Target,2,3,3,8,2.0,2.125,14,1900.43,2913.7971666666663,1672.691184353595,1756.6691728315195,Gold,26-35,Q1 (Low),0.53342994376427,1,0.9971661851968899,Critical Risk,4. Re-engagement Campaign
45,Female,67133,High School,Married,3,Midwest,Urban,18,1118.71,62.15,23,5,0.071,0.267,0,0.228,0.077,10,3.81,5,18.95,0,0,0,3,0,-1,1,Loyal Customers,0.278837808817565,Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.2122714333037038,Low Engagement,High Value | Low Engagement | Low Propensity,9. Fading Interest - Re-engage,4,4,3,11,2.0,2.0,18,2237.4,3878.194666666667,2146.382224991111,2050.3160919111974,Gold,36-45,Q2,0.49416793556148153,0,0.024196715132832586,Very Low Risk,5. Growth Opportunity
18,Female,70174,Master,Divorced,2,Southeast,Urban,13,512.06,39.39,38,3,0.069,0.212,0,0.247,0.08,9,5.1,18,49.34,0,0,0,2,0,-1,1,At Risk,0.1552466952102142,Very Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.3239946671403375,Medium Engagement,Low Value | Medium Engagement | Low Propensity,10. Dormant - Minimal Effort,2,2,1,5,2.0,1.87,13,957.5709000000002,1276.7362666666666,913.6573301421012,896.1776830513536,Bronze,18-25,Q2,0.5680232887941548,1,0.9997502925737889,Critical Risk,7. Low Priority - Monitor
18,Male,56811,Bachelor,Single,2,Midwest,Urban,9,395.77,43.97,33,3,0.143,0.524,0,0.431,0.159,8,4.26,9,44.79,1,0,0,2,0,-1,0,At Risk,0.2283137016410288,Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.419998181335812,High Engagement,Low Value | High Engagement | Low Propensity,9. Fading Interest - Re-engage,2,1,1,4,2.0,1.955,9,773.65215,980.0584433333332,724.2218994007436,740.8506780866323,Bronze,18-25,Q1 (Low),0.5164670303995043,1,0.9317221645075408,Critical Risk,7. Low Priority - Monitor
33,Female,42414,High School,Married,5,Southwest,Urban,7,172.17,24.6,29,3,0.195,0.333,0,0.316,0.089,6,5.44,7,4.78,0,0,0,2,0,-1,0,At Risk,0.1068430003887116,Very Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.2100505451962669,Low Engagement,Low Value | Low Engagement | Low Propensity,10. Dormant - Minimal Effort,3,1,1,5,2.0,2.3,7,396.06,527.9879999999999,245.58358855888008,230.26425892606412,Bronze,26-35,Q1 (Low),0.5770121131829689,1,0.9985439726815087,Critical Risk,7. Low Priority - Monitor
26,Male,76130,Bachelor,Married,6,Northeast,Suburban,30,1314.14,43.8,19,5,0.051,0.493,1,0.448,0.197,13,3.8,17,54.14,0,0,1,0,3,-1,3,Champions,0.8100217378803917,Very High,High Value,High Propensity,High Value / High Propensity,1. VIP - Retain & Upsell,0.4614124871200161,High Engagement,High Value | High Engagement | High Propensity,1. VIP Champions - Maximize,4,5,4,13,3.5,4.7250000000000005,30,6208.650000000001,11590.714800000002,3138.123176136005,3137.910818418489,Platinum,26-35,Q2,0.20256194702044125,0,0.0002012242594601007,Very Low Risk,2. VIP Retain & Upsell
46,Female,70938,Bachelor,Divorced,1,Northeast,Urban,14,670.45,47.89,21,2,0.024,0.693,0,0.325,0.075,8,17.92,13,25.3,0,0,0,3,0,-1,1,Loyal Customers,0.1927829055774012,Very Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.3242991317109502,Medium Engagement,High Value | Medium Engagement | Low Propensity,9. Fading Interest - Re-engage,4,3,2,9,2.0,2.5,14,1676.15,2681.8,1325.1493395132852,1307.9940053941718,Silver,46-55,Q2,0.47014017365780997,0,0.009978554962477085,Very Low Risk,5. Growth Opportunity
28,Female,58040,Master,Married,6,Northeast,Urban,20,1222.59,61.13,18,2,0.095,0.296,0,0.228,0.053,13,6.95,24,34.1,0,0,0,0,2,-1,1,Champions,0.2929349452970261,Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.3579892747157878,Medium Engagement,High Value | Medium Engagement | Low Propensity,9. Fading Interest - Re-engage,4,4,4,12,2.0,2.4000000000000004,20,2934.2400000000007,5281.5888,2404.508757414736,2478.967506395706,Platinum,26-35,Q1 (Low),0.42946881172350915,0,0.0017202197066629563,Very Low Risk,2. VIP Retain & Upsell
20,Other,30035,High School,Married,3,Southwest,Suburban,12,180.0,15.0,16,9,0.063,0.583,0,0.311,0.061,9,7.25,19,36.31,1,1,0,2,0,-1,0,Potential Loyalists,0.0785923639654187,Very Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.4780756747471012,High Engagement,Medium Value | High Engagement | Low Propensity,9. Fading Interest - Re-engage,5,2,1,8,2.0,2.5,12,450.0,690.0,417.75270242413035,473.41538537798215,Bronze,18-25,Q1 (Low),0.43329597616169085,0,0.0014563711737869485,Very Low Risk,8. Acquisition Focus
63,Female,70773,High School,Widowed,2,Southeast,Rural,13,1205.12,92.7,38,7,0.162,0.783,0,0.336,0.045,9,7.34,6,17.58,1,0,0,3,0,-1,1,Potential Loyalists,0.1588662712737438,Very Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.3068114331297136,Low Engagement,Medium Value | Low Engagement | Low Propensity,10. Dormant - Minimal Effort,2,2,4,8,2.0,1.955,13,2355.9705,3612.548053333332,2214.658709938914,2255.8037253513367,Gold,55+,Q2,0.5536599355962795,1,0.9991514908940513,Critical Risk,4. Re-engagement Campaign
38,Male,115910,PhD,Married,2,Southeast,Urban,14,1202.39,85.88,37,7,0.02,0.697,0,0.237,0.055,11,4.28,14,41.28,1,0,0,3,0,-1,1,Loyal Customers,0.3190906826692564,Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.3639821225270321,Medium Engagement,High Value | Medium Engagement | Low Propensity,9. Fading Interest - Re-engage,2,3,4,9,2.0,2.04,14,2452.7328,3924.6009600000007,2316.9157367581092,2326.31493231139,Gold,36-45,Q4 (High),0.5509146866057046,1,0.9981950165001446,Critical Risk,4. Re-engagement Campaign
43,Female,89365,Master,Single,1,West,Suburban,18,945.89,52.55,35,5,0.077,0.417,1,0.423,0.183,15,9.27,12,2.31,0,0,0,0,3,-1,3,Loyal Customers,0.4605399639494335,Medium,High Value,Medium Propensity,High Value / Medium Propensity,2. Loyal - Nurture,0.3941441508531623,High Engagement,High Value | High Engagement | Medium Propensity,5. Loyal Engaged - Nurture,2,4,3,9,3.5,4.01625,18,3798.970875,6078.289140000001,2298.6114802559487,2365.564086619997,Gold,36-45,Q3,0.37212672538492314,0,0.00045875330411796763,Very Low Risk,5. Growth Opportunity
20,Female,53807,Bachelor,Single,1,Northeast,Rural,18,673.79,37.43,35,5,0.177,0.746,1,0.234,0.097,16,4.21,15,60.23,0,0,0,0,3,-1,3,Potential Loyalists,0.3087007789013593,Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.3764563845603696,Medium Engagement,Medium Value | Medium Engagement | Low Propensity,10. Dormant - Minimal Effort,2,4,2,8,3.5,3.5700000000000007,18,2405.2518000000005,3688.32646,1725.861500368111,1767.7772603715648,Gold,18-25,Q1 (Low),0.4134642786434817,0,0.0009658898370718256,Very Low Risk,5. Growth Opportunity
33,Male,63270,Master,Married,6,Midwest,Rural,17,831.98,48.94,31,5,0.091,0.197,1,0.208,0.097,8,4.0,11,23.96,1,1,0,0,3,-1,3,Loyal Customers,0.1861173709688191,Very Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.3923373756114202,High Engagement,High Value | High Engagement | Low Propensity,8. Declining VIPs - Win Back,3,4,2,9,3.5,3.2725000000000004,17,2722.65455,4356.2472800000005,2088.806122683426,1971.6078368297551,Gold,26-35,Q2,0.40437696932216044,0,0.0005981924148471324,Very Low Risk,5. Growth Opportunity
43,Male,86782,Bachelor,Married,1,Southwest,Suburban,12,882.19,73.52,27,1,0.054,0.656,0,0.187,0.063,8,3.14,13,38.48,0,0,1,2,2,-1,1,Potential Loyalists,0.3533309137418685,Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.24450280408351,Low Engagement,Medium Value | Low Engagement | Low Propensity,10. Dormant - Minimal Effort,3,2,3,8,2.0,2.2,12,1940.928,2975.9209333333333,1678.9367112250532,1750.951131713548,Gold,36-45,Q3,0.553699439183298,1,0.9969667307923188,Critical Risk,4. Re-engagement Campaign
24,Male,65020,Master,Single,4,Midwest,Urban,18,1179.66,65.54,20,3,0.33,0.475,0,0.191,0.035,5,3.58,7,41.66,1,1,0,2,0,-1,1,Champions,0.1310618047969518,Very Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.329864435263228,Medium Engagement,High Value | Medium Engagement | Low Propensity,9. Fading Interest - Re-engage,4,4,4,12,2.0,1.7,18,2005.524,3609.7596,2163.665430578969,2236.917917234223,Gold,18-25,Q2,0.46471600183624334,0,0.008055438286376029,Very Low Risk,5. Growth Opportunity
47,Male,76699,Bachelor,Married,5,Midwest,Urban,12,773.67,64.47,30,3,0.083,0.52,0,0.421,0.089,13,5.82,10,40.24,1,0,0,3,0,-1,0,Potential Loyalists,0.3960523949828095,Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.4253061205049214,High Engagement,Medium Value | High Engagement | Low Propensity,9. Fading Interest - Re-engage,3,2,2,7,2.0,2.5,12,1934.1,2836.7900000000004,1492.8095311514762,1521.6753448059287,Silver,46-55,Q3,0.48407210923234906,0,0.025843775374803493,Very Low Risk,5. Growth Opportunity
32,Male,88402,Bachelor,Divorced,2,Northeast,Urban,15,886.39,59.09,15,2,0.047,0.495,0,0.15,0.028,9,6.54,16,18.07,1,1,0,2,2,-1,1,Loyal Customers,0.269299245882323,Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.3796785345111281,High Engagement,High Value | High Engagement | Low Propensity,8. Declining VIPs - Win Back,5,3,3,11,2.0,2.2,15,1949.9700000000005,3380.1005333333337,1790.8333953533383,1837.652956181489,Gold,26-35,Q3,0.46073095976444106,0,0.00588387661140588,Very Low Risk,5. Growth Opportunity
37,Female,92831,Master,Married,2,Southeast,Suburban,10,761.96,76.2,63,2,0.063,0.46,0,0.266,0.033,9,7.5,11,31.53,1,1,0,2,0,-1,0,At Risk,0.1527670495476755,Very Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.4030127456785422,High Engagement,Low Value | High Engagement | Low Propensity,9. Fading Interest - Re-engage,1,1,2,4,2.0,1.54,10,1173.48,1486.329973333333,1305.8420837035628,1277.704151470656,Silver,36-45,Q4 (High),0.6795307841976248,1,0.9996794355843718,Critical Risk,4. Re-engagement Campaign
32,Male,41776,Bachelor,Divorced,2,Midwest,Urban,12,180.0,15.0,48,3,0.04,0.599,0,0.233,0.069,10,10.32,9,44.35,0,1,0,2,2,-1,0,At Risk,0.1144954618875589,Very Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.3608485247933298,Medium Engagement,Low Value | Medium Engagement | Low Propensity,10. Dormant - Minimal Effort,1,2,1,4,2.0,1.7,12,306.0,387.6,224.65455743799896,312.7512385626686,Bronze,26-35,Q1 (Low),0.6145636283746674,1,0.9996069585319987,Critical Risk,7. Low Priority - Monitor
69,Male,99257,PhD,Widowed,4,Northeast,Suburban,16,885.14,55.32,15,6,0.041,0.579,0,0.157,0.061,11,10.5,3,0.0,1,1,0,3,0,-1,1,Loyal Customers,0.3422762207824119,Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.3350336125913415,Medium Engagement,High Value | Medium Engagement | Low Propensity,9. Fading Interest - Re-engage,5,3,3,11,2.0,2.2,16,1947.264,3375.3338666666673,1777.6347137774026,1854.6819890320935,Gold,55+,Q4 (High),0.46159327748173173,0,0.005937115544453917,Very Low Risk,5. Growth Opportunity
41,Female,72435,Bachelor,Married,3,West,Urban,11,579.63,52.69,58,1,0.019,0.33,0,0.224,0.088,7,4.98,12,27.47,0,1,0,2,2,-1,0,At Risk,0.0962557994536244,Very Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.3222898966536064,Medium Engagement,Low Value | Medium Engagement | Low Propensity,10. Dormant - Minimal Effort,1,2,2,5,2.0,1.87,11,1083.8333,1445.2107999999998,960.4204839960815,1005.7849302649634,Bronze,36-45,Q2,0.6751864651137232,1,0.9997807577834964,Critical Risk,7. Low Priority - Monitor
26,Female,73208,PhD,Single,3,Southeast,Suburban,16,636.15,39.76,37,1,0.18,0.317,0,0.371,0.151,6,4.43,12,72.02,1,1,0,2,0,-1,1,Potential Loyalists,0.1913143144218615,Very Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.510104829993284,High Engagement,Medium Value | High Engagement | Low Propensity,9. Fading Interest - Re-engage,2,3,2,7,2.0,2.125,16,1351.84,1982.6675,1183.082948997985,1250.6955753616128,Silver,26-35,Q2,0.48155681177912096,0,0.04150436103924545,Very Low Risk,5. Growth Opportunity
54,Female,123528,PhD,Divorced,2,Southeast,Urban,24,2097.35,87.39,27,7,0.019,0.354,1,0.337,0.048,14,4.13,2,0.0,0,0,0,1,1,-1,3,Champions,0.3648269806390047,Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.2170930872250218,Low Engagement,High Value | Low Engagement | Low Propensity,9. Fading Interest - Re-engage,3,5,5,13,3.5,4.375,24,9175.95,17128.358333333334,4604.908101167506,4539.4211231421805,Diamond,46-55,Q4 (High),0.34918138255499565,0,0.0003770685286082208,Very Low Risk,2. VIP Retain & Upsell
23,Male,59633,Bachelor,Married,2,Southeast,Suburban,9,297.5,33.06,33,3,0.4,0.807,0,0.219,0.057,10,3.51,20,58.81,1,1,1,2,2,-1,0,At Risk,0.633814773860589,High,Low Value,High Propensity,Low Value / High Propensity,7. Hidden Gem - Activate,0.4791509779488878,High Engagement,Low Value | High Engagement | High Propensity,3. Engaged Prospects - Activate,2,1,1,4,2.0,1.5895,9,472.9398300000001,598.9765833333333,514.2652933846663,530.1275519713153,Bronze,18-25,Q1 (Low),0.5470364710768891,1,0.9951092326466088,Critical Risk,7. Low Priority - Monitor
45,Female,94080,Master,Married,4,West,Suburban,28,3116.42,111.3,12,5,0.026,0.529,1,0.318,0.116,12,3.72,7,44.31,0,0,1,1,1,-1,3,Champions,0.6598590329035369,High,High Value,High Propensity,High Value / High Propensity,1. VIP - Retain & Upsell,0.3114091639452169,Medium Engagement,High Value | Medium Engagement | High Propensity,2. VIP Ready - Convert Now,5,5,5,15,3.5,4.375,28,13634.25,27268.675,6725.739289183565,6676.6115172958425,Diamond,36-45,Q4 (High),0.24078483387762328,0,0.0002584705408012372,Very Low Risk,2. VIP Retain & Upsell
18,Female,44398,Bachelor,Single,3,Southwest,Suburban,11,253.51,23.05,36,1,0.287,0.598,0,0.229,0.037,10,8.52,15,21.63,1,0,0,2,2,-1,0,At Risk,0.0763265842875283,Very Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.3427991263009303,Medium Engagement,Low Value | Medium Engagement | Low Propensity,10. Dormant - Minimal Effort,2,2,1,5,2.0,1.5895,11,403.017725,537.2721933333333,393.501052890279,405.8146756792007,Bronze,18-25,Q1 (Low),0.5723068414064807,1,0.9996097445777073,Critical Risk,7. Low Priority - Monitor
22,Male,114320,PhD,Single,5,Midwest,Urban,15,1760.77,117.38,19,5,0.021,0.522,0,0.387,0.117,9,4.33,16,60.81,1,1,1,3,3,-1,1,Champions,0.6577541946938621,High,High Value,High Propensity,High Value / High Propensity,1. VIP - Retain & Upsell,0.5279386300804308,High Engagement,High Value | High Engagement | High Propensity,1. VIP Champions - Maximize,4,3,5,12,2.0,2.5,15,4401.75,7923.465,3566.398504024129,3574.192007632052,Diamond,18-25,Q4 (High),0.40145671842835834,0,0.0010149252903573869,Very Low Risk,2. VIP Retain & Upsell
44,Male,118438,Bachelor,Single,1,Midwest,Urban,25,1227.86,49.11,16,2,0.09,0.767,1,0.34,0.08,10,5.35,14,31.62,0,1,0,0,3,-1,3,Champions,0.2872162230809656,Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.3875493614332751,High Engagement,High Value | High Engagement | Low Propensity,8. Declining VIPs - Win Back,5,5,4,14,3.5,4.375,25,5371.40625,10385.649166666666,2936.6761084299824,2980.719936476019,Platinum,36-45,Q4 (High),0.2589345721577894,0,0.00021544513504181278,Very Low Risk,2. VIP Retain & Upsell
53,Female,93821,Master,Married,5,Southeast,Urban,16,1872.2,117.01,11,4,0.185,0.602,0,0.285,0.088,8,10.39,6,16.06,1,0,1,1,0,-1,1,Champions,0.5971494980506954,Medium,High Value,Medium Propensity,High Value / Medium Propensity,2. Loyal - Nurture,0.3183546348972919,Medium Engagement,High Value | Medium Engagement | Medium Propensity,6. Potential Stars - Develop,5,3,5,13,2.0,2.0,16,3744.32,6989.546666666667,3611.707890469187,3542.91120627644,Diamond,46-55,Q4 (High),0.4215512952427639,0,0.0015694310789802412,Very Low Risk,2. VIP Retain & Upsell
44,Female,81095,Bachelor,Married,1,Midwest,Suburban,22,1809.0,82.23,28,6,0.078,0.62,1,0.297,0.14,10,4.79,9,4.35,1,1,1,1,1,-1,3,Champions,0.8321156042123701,Very High,High Value,High Propensity,High Value / High Propensity,1. VIP - Retain & Upsell,0.4209255645715865,High Engagement,High Value | High Engagement | High Propensity,1. VIP Champions - Maximize,3,5,5,13,3.5,3.5,22,6331.710000000001,11818.8,4033.756669371476,4034.523557240569,Diamond,36-45,Q3,0.33419266486346055,0,0.00011052803212763028,Very Low Risk,2. VIP Retain & Upsell
40,Other,59061,High School,Married,5,Southeast,Urban,5,376.81,75.36,45,3,0.052,0.889,0,0.293,0.1,2,5.18,6,59.34,1,0,0,2,2,-1,0,Hibernating,0.0493192726303501,Very Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.3125926874162555,Medium Engagement,Low Value | Medium Engagement | Low Propensity,10. Dormant - Minimal Effort,1,1,1,3,2.0,1.7,5,640.5600000000001,768.6923999999999,612.5957462248766,621.5562224559802,Bronze,36-45,Q1 (Low),0.6455481291834155,1,0.9997995784693756,Critical Risk,7. Low Priority - Monitor
